MP name,Nature of membership,Start of term,End of term,State,Constituency,Party,Gender,Education,EducationalDetails,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Shantaram Laxman Naik,Elected,1-Aug-11,In office,Goa,,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Smt. Parvatibai Chowgule College, Margao, Bombay University, Mumbai and Siddharth College of Law, Bombay University, Mumbai ",67,102,19,386,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,102,19,386,91%
Sharad Anantrao Joshi,Elected,5-Jul-04,04/07/2010,Maharashtra,,Swtantra Bharat Paksh,Male,Post Graduate,"M. Com., Diplome d'informatique Educated at Sydenham College of Commerce & Economics, Mumbai and Institut de traitement d'information, Lausanne, Switzerland ",78,20,0,43,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,13.1,0.4,128,76%
Shashi Bhusan Behera,Elected,2-Jul-10,In office,Orissa,,Biju Janata Dal,Male,Graduate,"Graduate ; Educated at Ravenshaw College, Utkal University, Cuttack (Orissa)",61,43,0,10,0.90, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,42,0.5,179,81%
Shivanand Tiwari,Elected,10-Apr-08,In office,Bihar,,Janata Dal (United),Male,Under Graduate,,70,91,0,557,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,51.9,0.1,333,77%
Shivpratap Singh,Elected,10-Apr-08,In office,Chhattisgarh,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary Educated at Government Senior Secondary School, Surajpur ",71,0,0,44,0.56, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,27.8,0.6,442,84%
Shivraj Patil,Elected,5-Jul-04,21/01/2010,Maharashtra,,Indian National Congress,Male,Graduate,"B.Sc., LL.B., LL.M. Educated at Osmania University, Hyderabad and Bombay University, Mumbai",78,1,0,0,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.9,0.2,49,77%,8.9,0.2,82,76%
Shobhana Bhartia,Nominated,16-Feb-06,15/02/2012,,,Independent,Female,Graduate,"Senior Cambridge, B.A.(Hons.) Educated at Loreto House and Loreto College, Calcutta ",57,11,1,590,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.9,0.6,169,77%,10.7,0.1,79,68%
Shreegopal Vyas,Elected,3-Apr-06,02/04/2012,Chhattisgarh,,Bharatiya Janata Party,Male,Graduate,"B. E.(Hons.), LL.B. Educated at Saugar University, Jabalpur, Madhya Pradesh and Ravishankar Vishwavidyalaya, Raipur, Chattisgarh",82,79,3,533,0.99, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,24.3,0.6,324,84%
Shriram Pal,Elected,19-Jun-09,04/07/2010,Uttar Pradesh,,Bahujan Samaj Party,Male,Information not available,,Information not available,2,0,0,0.51, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),9.6,0.3,77,77%,7.9,0.4,57,79%
Shyam Benegal,Nominated,16-Feb-06,15/02/2012,,,Independent,Male,Post Graduate,"M.A. (Economics) Educated at Nizam College, Osmania University, Hyderabad ",79,3,0,4,0.74, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.9,0.6,169,77%,10.7,0.1,79,68%
Shyamal Chakraborty,Elected,3-Apr-08,In office,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"B. A. Educated at University of Calcutta, Kolkata ",70,19,0,234,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Silvius Condpan,Elected,3-Apr-04,10/10/2011,Assam,,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Don Bosco High School, Guwahati, B. Baruah College and Arya Vidyapeeth College, Gauhati University and Gauhati University Law College ",75,16,0,39,0.85,"This MP has been re-elected/nominated. During his previous term, this MP was an elected representative from Assam; the term ended on 2nd April, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",19.7,0.6,151,77%,21.7,0.2,114,84%
Sitaram Yechury,Elected,19-Aug-11,In office,West Bengal,,Communist Party of India (Marxist),Male,Post Graduate,"B.A. (Hons.) in Economics, M.A. (Economics) Educated at President's Estate School, New Delhi, St. Stephen's College, New Delhi and Jawaharlal Nehru University, New Delhi ",61,87,0,43,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Smriti Zubin Irani,Elected,18-Aug-11,In office,Gujarat,,Bharatiya Janata Party,Female,Graduate,"Educated at Holy Child Auxilium, Delhi and School of Correspondence and Continuing Education, University of Delhi, Delhi",37,51,0,340,0.73, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.7,0.4,150,77%,19.7,0.7,170,75%
Srinjoy Bose,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Graduate,"B. Com. (Pass) Educated at Don Bosco, Kolkata and Calcutta University, Kolkata",37,1,0,0,0.37, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.7,0.4,150,77%,29.5,0.2,63,75%
Su. Thirunavukkarasar,Elected,30-Jun-04,09/11/2009,Madhya Pradesh,,Indian National Congress,Male,Post Graduate,"B.L., M.A. Educated at Madras Law College, Chennai (Tamil Nadu) and Venkateshwara University (Andhra Pradesh)",64,0,0,0,0.50, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.2,0.1,25,77%,2.1,0,18,81%
Subhash Prasad Yadav,Elected,8-Jul-04,07/07/2010,Bihar,,Rashtriya Janata Dal,Male,Graduate,"Graduate, Educated at Magadh University, Bodh Gaya (Bihar) ",46,0,0,24,0.51, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,11,0,81,77%
Sukhendu Sekhar Roy,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Professional Post Graduate,"M.A., LL.B. Educated at Kalindri High School, Malda, St. Paul's College, Rabindra Bharati University and Calcutta University, Kolkata",64,54,0,93,0.83, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.7,0.4,150,77%,29.5,0.2,63,75%
Surendra Motilal Patel,Elected,19-Aug-05,18/08/2011,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.E. (Civil) Educated at Sardar Patel University, Vallabh Vidyanagar (Gujarat)",76,2,0,0,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),18.4,0.6,140,77%,11.4,0,105,75%
Suryakantbhai Acharya,Elected,19-Aug-05,21/12/2009,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.A., B.Com., LL.B. Educated at M.P.Shah College and Shamaldas College, Gujarat University, Bhavnagar and Dharmendra College, Gujarat University, Rajkot",84,0,0,0,0.57, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.8,0.2,49,77%,4,0,31,75%
Sushila Tiriya,Elected,4-Apr-06,03/04/2012,Orissa,,Indian National Congress,Female,Graduate,"B.A., C.T., B.Ed. Educated at Karanjia College, Karanjia (Utkal University) ",58,29,0,159,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,34.7,0,171,81%
Swapan Sadhan Bose,Elected,19-Aug-05,18/08/2011,West Bengal,,All India Trinamool Congress,Male,Graduate,"B. Com., LL.B. Educated at St. Xavier's College, University of Calcutta ",66,1,0,0,0.19, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),18.4,0.6,140,77%,29.1,0.4,101,75%
Syed Azeez Pasha,Elected,3-Apr-06,02/04/2012,Andhra Pradesh,,Communist Party of India,Male,Graduate,"B.A., LL.B. Educated at Osmania University, Hyderabad and Osmania University Law College, Hyderabad",68,70,0,490,0.90, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,20.2,0.8,262,77%
Syeda Anwara Taimur,Elected,3-Apr-04,02/04/2010,Assam,,Indian National Congress,Female,Post Graduate,"B.A. (Hons.), M.A. (Economics) Educated at Jorhat Girls' High School, J.B. College, Jorhat and Aligarh Muslim University",77,1,0,72,0.68, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,9.2,0,46,84%
T. Rathinavel,Elected,25-Jul-13,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"B.A., M.A. Educated at RDM College, Sivaganga and Madurai Kamraj University, Madurai",63,4,0,0,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.2,0,31,77%,8.1,0,40,71%
T. Ratna Bai,Elected,10-Apr-08,In office,Andhra Pradesh,,Indian National Congress,Female,Inter/ Higher Secondary,"High School Educated at Government High School, Rampachodavaram, Distt. East Godavari (Andhra Pradesh) ",67,14,0,972,0.97, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31.7,1,416,77%
T. Subbarami Reddy,Elected,10-Apr-08,In office,Andhra Pradesh,,Indian National Congress,Male,Doctorate,"B.Com. Educated at Nizam College, Hyderabad ",70,31,13,907,0.67, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31.7,1,416,77%
T.K. Rangarajan,Elected,3-Apr-08,In office,Tamil Nadu,,Communist Party of India (Marxist),Male,Inter/ Higher Secondary,"SSLC Educated at GMTTV High School, Chennai ",72,45,0,272,0.73, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
T.M. Selvaganapathi,Elected,30-Jun-10,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"B.A. (Economics), M.A. (Economics), LL.B. Educated at Loyola College, Chennai, Jawaharlal Nehru University, New Delhi and Campus Law Centre, University of Delhi, Delhi",54,15,0,540,0.68, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,37,0.6,265,71%
