MP name,Nature of membership,Start of term,End of term,State,Constituency,Party,Gender,Education,EducationalDetails,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Elavarasan,Elected,25-Jul-07,24/07/2013,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,,57,38,0,574,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,1,258,77%,46.3,0.7,307,71%
A. Vijayaraghavan,Elected,3-Apr-04,02/04/2010,Kerala,,Communist Party of India (Marxist),Male,Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode ",57,12,0,82,0.74, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,9.4,0,93,70%
A. W. Rabi Bernard,Elected,19-Jul-11,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Edit the detail,64,11,0,35,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),22.7,0.5,160,77%,28.7,0.6,202,71%
A.A. Jinnah,Elected,3-Apr-08,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Law College, Chennai (Tamil Nadu) ",73,16,0,205,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
A.K. Antony,Elected,3-Apr-10,In office,Kerala,,Indian National Congress,Male,Graduate,"B.A., B.L. Educated at University of Kerala ",73,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
A.V. Swamy,Elected,4-Apr-12,In office,Orissa,,Independent,Male,Professional Graduate,"B.Sc. (Hons.), B.Sc. (Tech.), LL.B., Certificate in Aid Administration Educated at Ravenshaw College, Cuttack, U.D.C.T., Bombay University, Mumbai, Utkal University, Bhubaneswar and Selly Oak College, Birmingham, U.K.",84,12,0,30,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,19.6,0.5,82,81%
Aayanur Manjunath,Elected,1-Jul-10,In office,Karnataka,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B.; Educated at Sahyadri College and National College of Law, Shimoga",58,3,0,204,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,21.1,0.9,127,64%
Abani Roy,Elected,19-Aug-05,18/08/2011,West Bengal,,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Intermediate (in Science) Educated at Raisina Bengali Higher Secondary School, New Delhi and City-College, Ram Mohan Roy Sarani, Kolkata ",74,9,0,0,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),18.4,0.6,140,77%,29.1,0.4,101,75%
Abdul Wahab Peevee,Elected,3-Apr-04,02/04/2010,Kerala,,Muslim League Kerala State Committee,Male,Graduate,"Educated at Government Manavedan High School, Nilambur and MES College, Mampad, Kerala",63,3,0,33,0.29, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,9.4,0,93,70%
Abhishek Manu Singhvi,Elected,4-Apr-12,In office,Rajasthan,,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A. ",55,5,1,25,0.47, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,39.7,0.4,385,79%
Ahmad Saeed Malihabadi,Elected,3-Apr-08,In office,West Bengal,,Independent,Male,Graduate,"After school completed education at Madrasah Islah and Darul Musanafeen (Shibli Academy), Azamagarh",83,25,0,35,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Ahmed Patel,Elected,19-Aug-11,In office,Gujarat,,Indian National Congress,Male,Graduate,"B.Sc. Educated at Shree Jayendra Puri Arts and Science College, Bharuch (South Gujarat University) and M.S. University, Baroda ",64,0,0,0,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31,0.7,273,75%
Ajay Sancheti,Elected,3-Apr-12,In office,Maharashtra,,Bharatiya Janata Party,Male,Graduate,B.Com. Educated at Nagpur University,48,6,0,70,0.61, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,18.7,0.5,176,76%
Ajay Singh Chautala,Elected,8-Feb-04,02/11/2009,Haryana,,Indian National Lok Dal,Male,Post Graduate,"B.A., M.A., LL.B. Educated at Government College, Hissar and Rajasthan University, Jaipur (Rajasthan)",52,0,0,9,0.53, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.2,0.1,25,77%,5.3,0,11,87%
Akhilesh Das Gupta,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Doctorate,"M.B.A., LL.B., D.P.A. (Diploma in Public Administration), Ph.D. on 'Human Resources Management in Public Sector Undertakings' Educated at Colvin Taluqdars' College, Allahabad University, Lucknow University and Agra University ",52,7,14,12,0.63, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Ali Anwar Ansari,Elected,3-Apr-12,In office,Bihar,,Janata Dal (United),Male,Graduate,"Graduate, Educated at D.K.College, Dumraon and M.V.College, Buxar (Bihar) ",60,48,0,67,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,51.9,0.1,333,77%
Alka Balram Kshatriya,Elected,10-Apr-08,In office,Gujarat,,Indian National Congress,Female,Post Graduate,"B.Com., LL.B., M.Com., LL.M. (Commercial Law), Diploma in Labour Laws and Practice (D.L.P.), Diploma in Taxation Practice (D.T.P.) Educated at Gujarat University, Ahmedabad and North Gujarat University, Mahesana ",54,17,0,165,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31,0.7,273,75%
Alok Tiwari,Elected,19-Jun-12,In office,Uttar Pradesh,,Samajwadi Party,Male,Graduate,Graduate Educated at University of Delhi,41,7,0,217,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),12.2,0.2,92,77%,11.4,0.2,82,79%
Amar Singh,Elected,26-Nov-08,In office,Uttar Pradesh,,Independent,Male,Graduate,"B.A., LL.B. Educated at St. Xavier's College and University College of Law, Kolkata ",58,17,0,113,0.40, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Ambeth Rajan,Elected,26-Sep-07,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.Sc. II Educated at AVC College, Mayiladuthurai, Tamil Nadu ",58,40,0,373,0.97, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Ambika Soni,Elected,5-Jul-10,In office,Punjab,,Indian National Congress,Female,Graduate,"B.A. (Hons.), Diplome Superiore en Langue Francaise, Post-Graduate Diploma in Spanish Art and Literature Educated at Indraprastha College, Delhi University, Alliance Francaise, Bangkok and University of Havana, Cuba ",71,2,0,37,0.93,"This MP was a Minister. She tendered her resignation on 28th October, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th October, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",10.9,0.2,75,77%,12,0.6,69,79%
Amir Alam Khan,Elected,13-Jun-06,04/07/2010,Uttar Pradesh,,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Islamia Inter College, Muzaffarnagar (Uttar Pradesh) ",55,3,0,186,0.44, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,8.2,0.4,57,79%
Anand Sharma,Elected,5-Jul-10,In office,Rajasthan,,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at R.P.C.S.D.B. College, Shimla and Faculty of Law, Himachal Pradesh University, Shimla ",61,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
Ananda Bhaskar Rapolu,Elected,3-Apr-12,In office,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"M.A. (Sociology) Educated at C.K.M. College, Warangal and Osmania University, Hyderabad",49,43,0,0,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,11.5,0.2,154,77%
Anbumani Ramadoss,Elected,30-Jun-04,29/06/2010,Tamil Nadu,,Pattali Makkal Katchi,Male,Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu) ",45,2,0,0,0.15, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,17.4,0.2,82,71%
Anil H. Lad,Elected,26-Jun-08,20/05/2013,Karnataka,,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sandur Residential School, Sandur, Distt. Bellary, Karnataka ",40,4,0,26,0.59, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,1,258,77%,21.1,1.9,138,64%
Anil Kumar Sahani,Elected,3-Apr-12,In office,Bihar,,Janata Dal (United),Male,Post Graduate,"LL.B., M.A.; Educated at Baba Saheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Bihar)",50,16,0,426,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),32.9,0.8,240,77%,43.9,0.1,280,77%
Anil Madhav Dave,Elected,4-Aug-09,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.Com. Educated at Gujarati College, Indore, Madhya Pradesh ",57,42,0,341,0.72, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.1,0.9,268,77%,39.9,1.2,329,81%
Anil Yeshwant Desai,Elected,3-Apr-12,In office,Maharashtra,,Shiv Sena,Male,Professional Graduate,"B.Com, LL. B. Educated at Mumbai University, Mu",56,30,0,148,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,18.7,0.5,176,76%
Anu Aga,Nominated,27-Apr-12,In office,,,Independent,Female,Post Graduate,"B.A.(Eco) from St Xavier's College, Mumbai, and post graduation in medical and psychiatric social work from the TISS, Mumbai. Also had been a Fulbright Scholar and studied in the United States for four months.",71,0,0,0,0.61, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,107,77%,6.7,0.3,18,68%
Anusuiya Uikey,Elected,3-Apr-06,02/04/2012,Madhya Pradesh,,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Economics), LL.B. (II year)",56,48,0,249,0.90, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,22.4,0.5,190,81%
Arjun Kumar Sengupta,Elected,19-Aug-05,26/09/2010,West Bengal,,Independent,Male,Doctorate,"B.A., M.A., Ph.D. (Economics) Educated at Mitra Institution, Bhavanipur, Kolkata, Presidency College, University of Calcutta, Kolkata and Massachusetts Institute of Technology (MIT), USA ",76,7,0,0,0.61, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),13.5,0.4,96,77%,22.3,0.3,69,75%
Arjun Singh,Elected,3-Apr-06,04/03/2011,Madhya Pradesh,,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Allahabad University and Agra University ",83,1,0,0,0.22, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),14.7,0.5,122,77%,10.4,0.3,118,81%
Arun Jaitley,Elected,3-Apr-12,In office,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.), LL.B. Educated at Sri Ram College of Commerce, University of Delhi and Faculty of Law, University of Delhi ",61,105,0,0,0.00,"As Leader of Opposition, this MP does not sign the attendance register. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",39.8,1,290,0,31,0.7,273,0
Arun Shourie,Elected,5-Jul-04,04/07/2010,Uttar Pradesh,,Bharatiya Janata Party,Male,Doctorate,"Ph.D. (Economics), Educated at Modern School, New Delhi, St.Stephen's College, Delhi and University of Syracuse, U.S.A",72,3,0,0,0.61, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,8.2,0.4,57,79%
Arvind Kumar,Elected,20-Apr-12,In office,Uttar Pradesh,,Samajwadi Party,Male,Professional Graduate,"M.A., LL.B. Educated at Lucknow University, Lucknow",45,21,0,436,0.97, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.7,0.3,88,79%
Ashk Ali Tak,Elected,5-Jul-10,In office,Rajasthan,,Indian National Congress,Male,Post Graduate,"M.A., Diploma in Indian Thought ; Educated at University of Rajasthan, Jaipur",55,7,0,280,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,25.2,0,241,79%
Ashok S. Ganguly,Nominated,18-Nov-09,In office,,,Independent,Male,Doctorate,"B.Sc., M.S., Ph.D. ; Educated at Master Tutorial High School, Mumbai, Jaihind College, Mumbai and University of Illinois, U.S.A.",78,47,0,4,0.68, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),35.6,0.9,265,77%,16.4,0.3,85,68%
Ashwani Kumar,Elected,10-Apr-10,In office,Punjab,,Indian National Congress,Male,Post Graduate,"B.A.(Hons.), LL.B., M.Phil. Educated at St. Stephen's College, Delhi; Faculty of Law, University of Delhi and Jawaharlal Nehru University, New Delhi ",61,8,0,0,0.94,"This MP was a minister from January, 2011 to May, 2013. Participation and attendance details for this MP are thus available only till 13th December, 2010 and  after 12th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",19.7,0.4,147,77%,17.1,0,169,79%
Avinash Pande,Elected,5-Jul-10,In office,Maharashtra,,Indian National Congress,Male,Professional Post Graduate,"B.Com, M.A. (Economics), M.A. (Public Administration) D.B.M., LL.B. ; Educated at Nagpur University, Nagpur",55,5,0,158,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,33.5,0.9,340,76%
Avinash Rai Khanna,Elected,10-Apr-10,In office,Punjab,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",53,102,3,352,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,39.1,0.8,230,79%
Avtar Singh Karimpuri,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"Intermediate, B.A. (Public Administration) (Part-II) Educated at Govt. High School, Kotranjha, (Punjab) and Annamalai University ",49,91,4,119,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
B. Jayashree,Nominated,22-Mar-10,In office,,,Independent,Female,Graduate,"Graduate ; Educated at National School of Drama, New Delhi",63,4,0,1,0.58, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,15.6,0.3,73,68%
B. S. Gnanadesikan,Elected,25-Jul-07,24/07/2013,Tamil Nadu,,Indian National Congress,Male,Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Dr. Ambedkar Law College, Chennai",65,22,0,200,0.54, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,1,258,77%,46.3,0.7,307,71%
B.B. Tiwari,Elected,3-Apr-12,25/04/2012,Uttar Pradesh,,Samajwadi Party,Male,Professional Post Graduate," B.A. M.A. (Pol. Sc.), LL.B. Educated at Shivpati Inter College, Shohratgarh, St. Andrew's College, Gorakhpur and Allahabad University, Allahabad",72,0,0,0,0.00, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),0,0,2,0,0,0,1,0
B.K. Hariprasad,Elected,22-Aug-13,In office,Karnataka,,Indian National Congress,Male,Graduate,"B. Com. Educated at M.E.S.College, Bangalore University, Bangalore ",59,4,0,143,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),15,0.3,100,77%,10,1,54,64%
Baishnab Parida,Elected,2-Jul-10,In office,Orissa,,Biju Janata Dal,Male,Post Graduate,"M.A., M.Phil ; Educated at University of Calcutta and Institute of Oriental Studies, Moscow",73,51,0,335,0.95, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,42,0.5,179,81%
Balavant alias Bal Apte,Elected,3-Apr-06,02/04/2012,Maharashtra,,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.M. Educated at University of Mumbai, Mumbai ",75,11,0,302,0.73, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,27.9,0.8,292,76%
Balbir Punj,Elected,3-Apr-08,In office,Orissa,,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) Economics Educated at Rajdhani College, Delhi University, Delhi ",64,53,0,69,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.2,0.5,253,81%
Balihari Babu,Elected,3-Apr-06,12/06/2009,Uttar Pradesh,,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Public Inter College, Shahganj, Jaunpur (Uttar Pradesh)",63,0,0,0,1.00, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),0.4,0,0,77%,0.3,0,0,79%
Balwinder Singh Bhunder,Elected,5-Jul-10,In office,Punjab,,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Government Rajindra College, Bhatinda",69,27,0,391,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,37.4,0.8,216,79%
Barun Mukherji,Elected,18-Nov-08,In office,West Bengal,,All India Forward Bloc,Male,Doctorate,"B.Sc., B.A., M.A., B. Lib. Sc., Ph.D. and P.G.D.B.M. Educated at Bansberia H. E. School, Bansberia, Distt. Hooghly (West Bengal), Hooghly Mohsin College, Chinsurah, Calcutta University and Institute of Modern Management, Calcutta ",80,47,0,15,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Basawaraj Patil,Elected,3-Apr-12,In office,Karnataka,,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Pt-I) Educated at Government Degree College, Gulbarga Honorary Doctorate from Gulbarga University, 2011",70,40,0,66,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.6,0.5,81,64%
Bashistha Narain Singh,Elected,3-Apr-12,In office,Bihar,,Janata Dal (United),Male,Post Graduate,"M.A. (History) Educated at Patna University, Patna",66,4,0,21,0.72, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,23.7,0,127,77%
Bhagat Singh Koshyari,Elected,26-Nov-08,In office,Uttarakhand,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (English) Educated at Almora College, Almora (Agra University) ",71,20,1,538,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,72.9,2.3,662,92%
Bhagirathi Majhi,Elected,24-Mar-06,01/07/2010,Orissa,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Sulaipat High School, Sulaipat and Keonjhar College, Utkal University (Orissa) ",60,2,0,55,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,12.2,0,74,81%
Bhagwati Singh,Elected,5-Jul-04,04/07/2010,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A. Educated at Arjunpur, Sidholi, Sitapur and Lucknow University (Uttar Pradesh) ",80,3,0,43,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,8.2,0.4,57,79%
Bhalchandra Mungekar,Nominated,22-Mar-10,In office,,,Independent,Male,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",67,38,0,137,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,15.6,0.3,73,68%
Bharatkumar Raut,Elected,3-Apr-08,In office,Maharashtra,,Shiv Sena,Male,Post Graduate,"M.A. (Politics) Educated at University of Bombay, Mumbai ",60,121,1,203,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,46.6,1.3,468,76%
Bharatsinh Prabhatsinh Parmar,Elected,10-Apr-08,In office,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B. Com., LL.B. Educated at South Gujarat University, Bharuch (Gujarat)",55,18,0,405,0.66, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31,0.7,273,75%
Bhubaneswar Kalita,Elected,10-Apr-08,In office,Assam,,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Rangia HS School, Rangia, Cotton College, Guwahati University and University Law College, Guwahati ",62,11,0,94,0.80, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,43.8,0.2,249,84%
Bhupender Yadav,Elected,4-Apr-12,In office,Rajasthan,,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons.), LL. B. Educated at Government College, Ajmer and Maharishi Dayanand University, Ajmer",44,14,0,107,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.3,0,114,79%
Bhushanlal Jangde,Elected,3-Apr-12,In office,Chhattisgarh,,Bharatiya Janata Party,Male,Graduate,"B.A.M.S. Educated at Government Ayurveda College, Raipur",70,0,0,43,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,3.5,0,118,84%
Bimal Jalan,Nominated,27-Aug-03,26/08/2009,,,Independent,Male,Doctorate,"B.A.(Hons.), B.A.(Tripos), M.A., M. Phil.,Ph. D. Educated at Presidency College, Kolkata, University of Cambridge, U.K., University of Oxford, U.K. and University of Bombay, Mumbai",72,3,0,0,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.2,0.1,25,77%,2.1,0.1,17,68%
Bimla Kashyap Sood,Elected,3-Apr-10,In office,Himachal Pradesh,,Bharatiya Janata Party,Female,Graduate,"B.A. ; Educated at Punjab University, Shimla",71,30,0,200,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,29.5,0,211,88%
Birender Singh,Elected,2-Aug-10,In office,Haryana,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. ; Educated at Government College, Rohtak, Haryana and Department of Law, Chandigarh",67,3,0,35,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,209,77%,15.4,2.1,143,87%
Birendra Prasad Baishya,Elected,10-Apr-08,In office,Assam,,Asom Gana Parishad,Male,Post Graduate,"B.A. (Hons.), M.A. (Economics) Educated at Gauhati University, Guwahati ",58,78,0,474,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,43.8,0.2,249,84%
Biswajit Daimary,Elected,10-Apr-08,In office,Assam,,Bodoland People's Front,Male,Inter/ Higher Secondary,"Higher Secondary Educated at Kokrajhar College, Kokrajhar ",43,32,0,16,0.68, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,43.8,0.2,249,84%
Brij Bhushan Tiwari,Elected,6-Dec-06,04/07/2010,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"B.A., M.A. (Pol. Sc.), LL.B. Educated at Shivpati Inter College, Shohratgarh, St. Andrew's College, Gorakhpur and Allahabad University, Allahabad ",72,31,0,84,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,8.2,0.4,57,79%
Brijesh Pathak,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"B.Com., LL.B., M.A. (I) Composite History Educated at Lucknow University ",49,28,0,0,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Brijlal Khabri,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B. Educated at Dayanand Vedic Mahavidyalaya, Orai, Distt. Jalaun and Bundelkhand University, Jhansi, Uttar Pradesh ",52,14,0,139,0.72, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Brinda Karat,Elected,19-Aug-05,18/08/2011,West Bengal,,Communist Party of India (Marxist),Female,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi ",66,69,3,173,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),18.4,0.6,140,77%,29.1,0.4,101,75%
C Rangarajan,Nominated,9-Aug-08,10/08/2009,,,Independent,Male,Doctorate,"B.Com. (Hons.), Ph.D. Educated at Madras University, Chennai and University of Pennsylvania, Philadelphia",82,1,0,0,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.2,0.1,25,77%,2.1,0.1,17,68%
C.M. Ramesh,Elected,3-Apr-12,In office,Andhra Pradesh,,Telugu Desam Party,Male,Information not available,Information not available,48,18,0,236,0.77, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,11.5,0.2,154,77%
C.P. Narayanan,Elected,2-Jul-12,In office,Kerala,,Communist Party of India (Marxist),Male,Post Graduate,"B.Sc. (Hons.) Mathematics, M.Sc. (Statistics) Educated at University College and Kerala University, Thiruvananthapuram",75,16,0,113,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),12.2,0.2,92,77%,22.7,0,138,70%
C.P. Thakur,Elected,10-Apr-08,In office,Bihar,,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D., M.R.C.P., F.R.C.P. Educated at Patna Medical College, Patna University, Bihar, Royal College of Physicians, London and Royal College of Physicians, Edinburgh and Royal College of Tropical Medicine and Hygiene, London ",82,23,0,13,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,51.9,0.1,333,77%
Chandan Mitra,Elected,30-Jun-10,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Doctorate,"B.A. (Hons.) in Economics, M.A.(History), D.Phil. Educated at La Martiniere for Boys, Kolkata, St. Stephen's College, Delhi, Delhi University and Oxford University, U.K.",59,41,0,234,0.87,"This MP has been re-elected/nominated. During his previous term, this MP was a nominated representative; the term ended on 26th August, 2009. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",34,0.8,238,77%,37.6,1.1,295,81%
Chiranjeevi Konidala,Elected,3-Apr-12,In office,Andhra Pradesh,,Indian National Congress,Male,Graduate,"B.Com. Educated at YNM College, Narsapur, Distt. West Godavari, Andhra Pradesh",58,0,0,0,0.70,"This MP was appointed a minister in October 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th September, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",5.1,0.2,34,77%,4,0,45,77%
D. Raja,Elected,25-Jul-13,In office,Tamil Nadu,,Communist Party of India,Male,Graduate,"B.Sc., B.Ed. Educated at University of Madras, Chennai and Department of Education, Madras ",64,194,1,791,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
